n,m,bf,fw,dp,df
18,17,2.79954,3151.72,195.299,1.63935
18,17,3.04738,2961.21,194.925,1.6458
18,17,2.83146,3071.2,202.292,1.74938
18,17,2.96692,3053.98,194.601,1.63823
18,17,2.78918,3023.03,193.326,1.71478
18,17,2.5849,3124.24,95.9251,2.45567
18,17,2.59089,3039.61,95.7208,2.42921
18,17,2.52829,3111.32,93.2509,2.46706
18,17,2.48212,3087.56,96.9873,2.42201
18,17,2.58266,3047.22,93.6952,2.47927
18,17,2.48096,3093.54,92.3868,2.46453
18,17,2.59657,3017.21,96.7467,2.45302
18,17,2.58959,3153.01,95.1967,2.55282
18,17,2.57766,3152.06,92.9887,3.04991
18,17,3.20553,3082.57,92.5337,2.42697
20,19,2.53637,4290.36,91.0637,2.03918
20,19,2.71213,4238.99,86.9341,1.91977
20,19,2.5485,4312.79,87.2418,1.97061
20,19,2.55499,4197.83,93.599,1.98975
20,19,2.62656,4331.28,90.6416,3.00089
20,19,3.29798,4289.35,87.3051,1.9001
20,19,2.55161,4095.19,87.0074,2.35594
20,19,3.07407,4162.88,88.6564,1.93296
20,19,2.58653,4284.53,87.714,1.92346
20,19,2.60024,4155.21,87.1734,1.94589
20,19,2.87835,4056.62,83.1076,2.0947
20,19,2.90315,4185.61,80.2468,2.11715
20,19,2.87746,4065.84,78.0346,2.10651
20,19,3.03267,4131.76,78.5907,3.3489
20,19,4.65348,4144.49,77.1359,2.16649
20,19,3.0541,4126.87,80.2512,2.02424
20,19,2.82962,3225.92,78.6352,2.04384
20,19,2.80683,3142.41,76.5854,2.01454
20,19,2.8175,3280.98,79.1639,2.06136
20,19,3.11521,3303.26,78.1177,2.3565
20,19,4.84277,3186.67,125.144,2.80681
20,19,4.77754,3134.4,126.995,2.78909
20,19,4.12014,3201.56,125.689,2.77583
20,19,4.13281,3151,130.94,2.75446
20,19,4.17048,3240.11,129.068,2.86272
20,19,4.27495,3234.26,128.214,2.82954
20,19,4.20956,3261.2,128.575,2.92636
20,19,4.1692,3173.13,127.834,3.85346
20,19,4.85322,3143.78,127.652,2.78986
20,19,4.18512,3271.59,127.714,2.7682
20,19,4.34729,3142.92,238.585,3.06683
20,19,4.3076,3240.2,236.464,3.09756
